beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.013750300000000002,0.02088084339556236
0.07,0.07452850000000001,0.00966503444122161
0.08,0.10623339999999999,0.004772819129193983
0.09,0.1359113,0.0051523196047993745
0.1,0.166742,0.005163823389698762
0.11,0.19556530000000003,0.004755180218456498
0.12,0.22482590000000002,0.0038346335144313335
0.13,0.25121550000000004,0.00431909119491589
0.14,0.2767518,0.00429397284108784
0.15,0.3005625,0.004021060401187724
0.16,0.3228918,0.004039953311611406
0.17,0.3441379,0.004040577754480157
0.18,0.36350759999999993,0.004033509915693779
0.19,0.3819083,0.0038270095518563823
0.2,0.3987312,0.003226117877573599
0.21,0.4151191,0.0036462493318477262
0.22,0.4301221,0.003385433294277119
0.23,0.4431599,0.0033292646320171007
0.24,0.45626300000000003,0.002978794890555583
0.25,0.4693101,0.002902053926101303
0.26,0.48124529999999993,0.0027483418473690678
0.27,0.4919782000000001,0.002669392207975447
0.28,0.5024441,0.002702411180779142
0.29,0.5117609,0.0022373082465319853
0.3,0.5207771,0.00277260321539162
