beta,rho_mean,rho_std
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.04935597989949749,0.030502292240642128
0.08,0.1540894472361809,0.009759023280560433
0.09,0.22253296482412066,0.00800214794716954
0.1,0.2801090452261306,0.006001521717252504
0.11,0.32562120603015077,0.004768164101016227
0.12,0.3652584924623115,0.004348647344743679
0.13,0.39816733668341714,0.0037276191891843376
0.14,0.4277390954773869,0.003979795927793041
0.15,0.45273979899497474,0.0036052160375219
0.16,0.47432211055276385,0.003476621862274223
0.17,0.49382180904522616,0.003029875186016305
0.18,0.5105856281407035,0.0029019859399899025
0.19,0.5263878391959799,0.00304386592339447
0.2,0.5402034170854272,0.0024551606223366888
0.21,0.5528314572864322,0.0025387614448778174
0.22,0.5639755778894473,0.0023083820242782364
0.23,0.5744780904522613,0.0022683990414513262
0.24,0.5837380904522612,0.0020499171173181626
0.25,0.5923136683417085,0.002009020487478438
0.26,0.6000891457286432,0.0017604521429687154
0.27,0.6073850251256281,0.0020086707301267964
0.28,0.6141659296482412,0.001958281332218828
0.29,0.6202308542713568,0.0016090866287411117
0.3,0.6259594974874372,0.0017766288584718762
